"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"26-Jun-2020","    10239.10","    10285.20","    10100.25","    10137.85","       28071726","         1882.02"
"29-Jun-2020","    10132.75","    10264.90","    10115.30","    10135.90","       26419220","         1921.87"
"30-Jun-2020","    10189.45","    10198.40","     9956.15","     9985.15","       25881875","         1935.11"
"01-Jul-2020","    10004.65","    10006.60","     9844.50","     9882.85","       23088077","         1740.48"
"02-Jul-2020","     9845.35","     9976.15","     9832.65","     9943.65","       28839411","         2661.51"
"03-Jul-2020","    10020.00","    10046.10","     9927.60","     9963.40","       27867457","         1930.98"
"06-Jul-2020","    10002.25","    10012.95","     9852.30","     9901.25","       27024581","         1938.81"
"07-Jul-2020","     9924.70","    10000.95","     9866.95","     9878.00","       27327847","         2197.52"
"08-Jul-2020","     9920.85","    10035.85","     9909.95","     9948.50","       31904189","         2691.83"
"09-Jul-2020","    10000.90","    10039.70","     9955.35","     9987.55","       23680920","         1827.02"
"10-Jul-2020","     9998.55","    10161.15","     9982.55","    10072.25","       40466674","         2738.07"
"13-Jul-2020","    10171.85","    10185.35","    10065.95","    10106.60","       39393407","         2337.19"
"14-Jul-2020","    10132.60","    10203.55","    10105.30","    10155.05","       49859052","         3260.42"
"15-Jul-2020","    10192.30","    10261.20","    10157.30","    10210.75","       27615516","         2305.97"
"16-Jul-2020","    10234.85","    10398.50","    10166.75","    10382.30","       44528571","         3351.02"
"17-Jul-2020","    10394.80","    10497.15","    10347.05","    10472.15","       47209645","         3415.92"
"20-Jul-2020","    10495.15","    10495.15","    10283.25","    10304.60","       38479617","         2694.81"
"21-Jul-2020","    10355.85","    10381.30","    10133.25","    10153.80","       25245752","         1822.78"
"22-Jul-2020","    10199.75","    10355.50","    10110.05","    10175.20","       37887448","         2570.09"
"23-Jul-2020","    10237.95","    10335.30","    10207.75","    10322.15","       27011020","         2276.55"
"24-Jul-2020","    10382.35","    10476.00","    10192.20","    10237.95","       46640404","         3100.42"
"27-Jul-2020","    10247.40","    10265.55","     9994.80","    10062.05","       25864305","         1901.28"
"28-Jul-2020","    10065.45","    10168.55","    10033.30","    10128.05","       23565507","         1709.38"
"29-Jul-2020","    10176.40","    10469.10","    10166.10","    10441.15","       35072071","         4162.95"
"30-Jul-2020","    10505.30","    10788.30","    10493.55","    10766.05","       53146327","         6388.14"
"31-Jul-2020","    10801.05","    11194.45","    10780.45","    11148.90","      107238762","         8849.85"
"03-Aug-2020","    11176.30","    11389.95","    11090.65","    11128.40","       71286493","         6286.82"
"04-Aug-2020","    11179.50","    11337.70","    11056.95","    11316.95","       43605920","         4014.46"
"05-Aug-2020","    11397.70","    11413.85","    11239.05","    11263.75","       51156254","         3819.55"
"06-Aug-2020","    11325.90","    11478.50","    11265.00","    11403.65","       49712577","         4317.46"
"07-Aug-2020","    11410.15","    11468.00","    11283.60","    11333.00","       49862705","         5184.98"
"10-Aug-2020","    11583.60","    12027.95","    11582.45","    11941.40","      122096029","        11542.70"
"11-Aug-2020","    12021.85","    12045.30","    11712.40","    11772.25","       48306319","         4949.73"
"12-Aug-2020","    11766.40","    11766.40","    11536.75","    11590.25","       40291481","         3984.92"
"13-Aug-2020","    11621.50","    11718.90","    11456.50","    11477.95","       50037872","         4521.32"
"14-Aug-2020","    11529.40","    11800.65","    11465.70","    11640.40","       77661408","         7059.58"
"17-Aug-2020","    11731.50","    11751.00","    11547.55","    11595.35","       33233917","         2993.63"
"18-Aug-2020","    11620.75","    11694.20","    11537.40","    11581.70","       28313443","         2742.51"
"19-Aug-2020","    11647.70","    11704.85","    11510.35","    11537.90","       31380149","         2774.16"
"20-Aug-2020","    11520.85","    11650.75","    11503.05","    11540.90","       27480973","         2604.52"
"21-Aug-2020","    11659.75","    11733.95","    11594.05","    11614.90","       32368722","         3523.36"
"24-Aug-2020","    11681.95","    11696.45","    11508.30","    11572.25","       25940619","         2360.40"
"25-Aug-2020","    11649.75","    11674.55","    11485.15","    11500.00","       28459950","         2627.79"
"26-Aug-2020","    11532.55","    11536.15","    11444.50","    11484.55","       22795505","         2042.31"
"27-Aug-2020","    11516.40","    11640.85","    11509.15","    11588.05","       32193454","         2909.60"
"28-Aug-2020","    11658.75","    11697.15","    11572.70","    11622.90","       49888061","         3797.62"
"31-Aug-2020","    11675.70","    11710.15","    11005.90","    11079.80","       52048257","         4201.34"
"01-Sep-2020","    11103.65","    11401.50","    11052.40","    11339.50","       52474562","         3634.20"
"02-Sep-2020","    11370.75","    11467.95","    11259.80","    11404.25","       37628003","         3014.39"
"03-Sep-2020","    11453.35","    11567.15","    11365.15","    11511.85","       34024584","         2762.36"
"04-Sep-2020","    11397.30","    11616.80","    11220.30","    11281.45","       44935016","         3541.17"
"07-Sep-2020","    11343.10","    11415.75","    11150.75","    11269.85","       25296883","         2231.18"
"08-Sep-2020","    11302.55","    11367.20","    11058.60","    11093.20","       26847256","         2572.49"
"09-Sep-2020","    11038.60","    11343.45","    11006.80","    11304.10","       42974968","         3421.85"
"10-Sep-2020","    11366.05","    11402.45","    11233.80","    11303.40","       31892445","         2585.59"
"11-Sep-2020","    11308.30","    11375.90","    11240.30","    11313.30","       24026034","         1904.32"
"14-Sep-2020","    11361.45","    11376.55","    11186.50","    11233.30","       23010093","         1867.75"
"15-Sep-2020","    11269.55","    11604.35","    11263.15","    11450.50","       55375991","         5184.36"
"16-Sep-2020","    11506.75","    11727.70","    11436.30","    11688.55","       51570157","         4893.65"
"17-Sep-2020","    11701.00","    11785.05","    11647.60","    11735.95","       43746549","         6508.24"
