"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"31-Aug-2020","    18163.25","    18426.40","    17791.85","    17928.85","       56325024","         4576.48"
"01-Sep-2020","    17954.60","    18154.40","    17775.65","    17814.05","       34706136","         2814.37"
"02-Sep-2020","    17860.65","    18114.85","    17858.30","    18076.95","       25978209","         2217.39"
"03-Sep-2020","    18148.25","    18497.95","    18108.00","    18348.55","       52661756","         3941.28"
"04-Sep-2020","    18049.20","    18259.80","    18012.80","    18073.95","       32772895","         3094.19"
"07-Sep-2020","    18093.05","    18208.95","    17962.35","    18176.80","       28440598","         2712.00"
"08-Sep-2020","    18304.25","    18671.75","    18213.55","    18395.75","       63093305","         5622.38"
"09-Sep-2020","    18264.20","    18439.55","    18193.45","    18261.50","       42012167","         2947.70"
"10-Sep-2020","    18385.95","    18416.75","    18217.10","    18395.85","       25919043","         2187.11"
"11-Sep-2020","    18347.65","    18740.85","    18338.10","    18633.25","       69088545","         4551.69"
"14-Sep-2020","    18804.85","    19592.30","    18799.55","    19505.10","      116474993","         9616.84"
"15-Sep-2020","    19511.50","    19823.00","    19392.35","    19627.30","       71513230","         6190.49"
"16-Sep-2020","    19642.30","    19802.40","    19533.70","    19770.35","       42624756","         3662.37"
"17-Sep-2020","    19660.45","    20014.65","    19605.05","    19817.70","       79572241","         6788.83"
"18-Sep-2020","    19889.95","    20067.70","    19777.75","    19827.05","       53710748","         4762.00"
"21-Sep-2020","    19855.55","    20331.60","    19683.85","    19728.95","       81628151","         7075.42"
"22-Sep-2020","    19813.35","    20113.40","    19376.70","    19866.10","       78060036","         7040.32"
"23-Sep-2020","    20016.80","    20226.30","    19615.15","    19805.65","       72280817","         6843.17"
"24-Sep-2020","    19630.30","    19658.00","    18914.70","    18973.00","       60442974","         5920.78"
"25-Sep-2020","    19108.75","    19678.50","    19077.85","    19629.35","       73896271","         6856.57"
"28-Sep-2020","    19774.75","    19836.95","    19463.65","    19783.00","       42999900","         4166.92"
"29-Sep-2020","    19891.05","    20146.35","    19782.35","    19831.80","       53165389","         5471.17"
"30-Sep-2020","    19880.60","    20048.55","    19741.65","    19951.30","       41295106","         3794.80"
"01-Oct-2020","    20129.80","    20196.05","    20009.30","    20110.40","       33451946","         3009.59"
"05-Oct-2020","    20375.90","    20940.90","    20341.45","    20809.00","       93778580","         9655.60"
"06-Oct-2020","    20995.30","    20995.30","    20573.90","    20896.75","       61586598","         6036.88"
"07-Oct-2020","    20897.55","    21121.60","    20771.65","    21017.40","       49333337","         5463.82"
"08-Oct-2020","    21531.85","    22169.30","    21501.95","    21697.25","      195719585","        16871.49"
"09-Oct-2020","    21703.45","    21922.75","    21540.65","    21837.60","       89098535","         6963.25"
"12-Oct-2020","    21990.85","    22320.00","    21845.05","    22202.10","       90153508","         7361.86"
"13-Oct-2020","    22230.20","    22619.00","    22186.05","    22492.60","       90615095","         8466.58"
"14-Oct-2020","    22475.85","    22490.30","    22129.95","    22204.05","      123239708","         9449.69"
"15-Oct-2020","    22473.65","    22570.50","    21364.15","    21567.30","      119880829","        11432.52"
"16-Oct-2020","    21638.25","    21908.80","    21247.55","    21538.15","       98056445","         9440.69"
"19-Oct-2020","    21683.80","    21683.80","    21354.90","    21391.90","       55459980","         5595.51"
"20-Oct-2020","    21397.50","    21779.80","    21346.05","    21694.35","       64738566","         6158.36"
"21-Oct-2020","    21757.05","    21892.30","    21406.10","    21577.65","       55941908","         6323.15"
"22-Oct-2020","    21480.70","    21767.05","    21290.45","    21413.50","       44440236","         5093.12"
"23-Oct-2020","    21546.65","    21621.60","    21385.15","    21523.60","       39000789","         4523.81"
"26-Oct-2020","    21493.30","    21595.80","    21148.65","    21265.70","       43358188","         5106.60"
"27-Oct-2020","    21287.10","    21371.60","    20932.70","    21023.40","       39067556","         4152.51"
"28-Oct-2020","    21121.90","    21194.75","    20701.00","    20810.30","       36566855","         3750.74"
"29-Oct-2020","    20667.70","    20961.05","    20548.30","    20876.95","       33439686","         3503.98"
"30-Oct-2020","    20912.95","    21197.30","    20797.50","    20916.85","       42683520","         4449.38"
"02-Nov-2020","    20964.15","    21012.45","    20669.35","    20732.30","       26957480","         2890.46"
"03-Nov-2020","    20792.25","    21017.95","    20679.65","    20736.00","       28716284","         3096.76"
"04-Nov-2020","    20769.90","    21468.45","    20765.80","    21104.55","       54323194","         5479.32"
"05-Nov-2020","    21383.70","    21596.00","    21284.60","    21385.65","       32997884","         3534.75"
"06-Nov-2020","    21435.15","    21582.20","    21251.55","    21492.25","       30195591","         3553.91"
"09-Nov-2020","    21751.65","    21926.90","    21620.55","    21820.15","       35832369","         4058.85"
"10-Nov-2020","    21633.10","    21633.10","    20862.70","    20978.50","       50745235","         5547.25"
"11-Nov-2020","    21029.25","    21365.65","    20967.80","    21330.45","       42104118","         4562.05"
"12-Nov-2020","    21380.20","    21610.05","    21291.70","    21363.35","       27527225","         3254.06"
