"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"29-Jul-2020","       23.6425","       24.4975","       23.6425","       24.1125","       23.6425","        0.4700","   1.99"
"30-Jul-2020","       24.1125","       25.1425","       22.0900","       24.7275","       24.1125","        0.6200","   2.55"
"31-Jul-2020","       24.7275","       25.3725","       23.9675","       24.1925","       24.7275","       -0.5400","  -2.16"
"03-Aug-2020","       24.1925","       25.6900","       23.2625","       25.1850","       24.1925","        0.9900","   4.10"
"04-Aug-2020","       25.1850","       25.1850","       23.5550","       23.8150","       25.1850","       -1.3700","  -5.44"
"05-Aug-2020","       23.8150","       23.9325","       21.8250","       23.5675","       23.8150","       -0.2500","  -1.04"
"06-Aug-2020","       23.5675","       23.7050","       22.5250","       23.1500","       23.5675","       -0.4200","  -1.77"
"07-Aug-2020","       23.1500","       23.3100","       21.7550","       22.5775","       23.1500","       -0.5700","  -2.47"
"10-Aug-2020","       22.5775","       23.0150","       21.4525","       22.5100","       22.5775","       -0.0700","  -0.30"
"11-Aug-2020","       22.5100","       22.5100","       20.2150","       21.3600","       22.5100","       -1.1500","  -5.11"
"12-Aug-2020","       21.3600","       21.9225","       16.8500","       20.8450","       21.3600","       -0.5200","  -2.41"
"13-Aug-2020","       20.8450","       21.1900","       19.4600","       20.5675","       20.8450","       -0.2800","  -1.33"
"14-Aug-2020","       20.5675","       22.9700","       16.3400","       21.6725","       20.5675","        1.1100","   5.37"
"17-Aug-2020","       21.6725","       22.8775","       19.5575","       21.3075","       21.6725","       -0.3700","  -1.68"
"18-Aug-2020","       21.3075","       21.3075","       18.2525","       20.4300","       21.3075","       -0.8800","  -4.12"
"19-Aug-2020","       20.4300","       20.4300","       17.8350","       19.9575","       20.4300","       -0.4700","  -2.31"
"20-Aug-2020","       19.9575","       21.0800","       17.6625","       20.6175","       19.9575","        0.6600","   3.31"
"21-Aug-2020","       20.6175","       20.6175","       14.8850","       19.9375","       20.6175","       -0.6800","  -3.30"
"24-Aug-2020","       19.9375","       20.0675","       17.8875","       19.2300","       19.9375","       -0.7100","  -3.55"
"25-Aug-2020","       19.2300","       19.8050","       15.4225","       19.3150","       19.2300","        0.0900","   0.44"
"26-Aug-2020","       19.3150","       19.5925","       17.2225","       19.3025","       19.3150","       -0.0100","  -0.06"
"27-Aug-2020","       19.3025","       19.4700","       17.4525","       18.8950","       19.3025","       -0.4100","  -2.11"
"28-Aug-2020","       18.8950","       18.8950","       16.6550","       18.3475","       18.8950","       -0.5500","  -2.90"
"31-Aug-2020","       18.3475","       23.8725","       16.4000","       22.8350","       18.3475","        4.4900","  24.46"
"01-Sep-2020","       22.8350","       23.2425","       21.1100","       21.8000","       22.8350","       -1.0400","  -4.53"
"02-Sep-2020","       21.8000","       22.4950","       19.8525","       21.1050","       21.8000","       -0.7000","  -3.19"
"03-Sep-2020","       21.1050","       21.1050","       18.1600","       20.5025","       21.1050","       -0.6000","  -2.85"
"04-Sep-2020","       20.5025","       22.6475","       19.8575","       22.1525","       20.5025","        1.6500","   8.05"
"07-Sep-2020","       22.1525","       23.2475","       17.2450","       22.0075","       22.1525","       -0.1500","  -0.65"
"08-Sep-2020","       22.0075","       23.0725","       17.5700","       22.7225","       22.0075","        0.7200","   3.25"
